index,is input,flow ID,flow name,flow category,flow unit,flow type,location ID,location name,location code
249,true,450202ff-b0c8-481b-9a58-d49af06cdb1b,"chipper, stationary, electric",C:Manufacturing/28:Manufacture of machinery and equipment n.e.c./282:Manufacture of special-purpose machinery/2821:Manufacture of agricultural and forestry machinery,Item(s),product,,,
250,false,70ef743b-3ed5-4a6d-b192-fb6d62378555,"Methane, fossil",Elementary flows/Emission to air/low population density,kg,elementary,,,
251,false,a46a250e-297d-43e9-b1c4-052cdcfb79c5,Vanadium V,Elementary flows/Emission to water/surface water,kg,elementary,,,
252,false,099b36ab-4c03-4587-87f4-2f81e337afb8,"Carbon monoxide, fossil",Elementary flows/Emission to air/low population density,kg,elementary,,,
253,false,60a6702f-20ad-444f-a6df-f6374f1e3183,Tin ion,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
254,false,3ddb2e36-bc1b-43a5-8ef4-cbcdbeeeea70,Tin ion,Elementary flows/Emission to water/surface water,kg,elementary,,,
255,false,20bc9500-2e2f-4cba-9332-8ea17d362aba,Bromine,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
256,false,2cba713d-ab0b-44cb-babb-f8cac262554f,Vanadium V,Elementary flows/Emission to air/high population density,kg,elementary,,,
257,false,f9749677-9c9f-4678-ab55-c607dfdc2cb9,"Carbon dioxide, fossil",Elementary flows/Emission to air/high population density,kg,elementary,,,
258,false,bac53020-1fed-4119-9242-33e4a2597560,Bromine,Elementary flows/Emission to water/surface water,kg,elementary,,,
259,false,f563b90e-a300-4403-b278-d2fdcd73e5a7,Tin ion,Elementary flows/Emission to air/low population density,kg,elementary,,,
260,false,481c0dd4-3ab2-47b5-94c4-b990e8a9dde5,Vanadium V,Elementary flows/Emission to air/low population density,kg,elementary,,,
261,false,aa7cac3a-3625-41d4-bc54-33e2cf11ec46,"Carbon dioxide, fossil",Elementary flows/Emission to air/low population density,kg,elementary,,,
262,false,41dbbe1f-06e1-4a34-8497-5986be8f9e51,Vanadium V,"Elementary flows/Emission to water/ground water, long-term",kg,elementary,,,
263,false,d32f9dd8-9514-4c22-8c99-2e108609731f,Bromine,Elementary flows/Emission to air/low population density,kg,elementary,,,
264,false,19b6e569-85a4-4ea9-a590-d61a21e3c846,Tin ion,Elementary flows/Emission to air/high population density,kg,elementary,,,
265,false,39946c56-cdf6-4a22-9ac9-1cd333b65533,Toluene,Elementary flows/Emission to air/high population density,kg,elementary,,,
266,false,237a5f15-8119-472a-8988-88b7ecb42405,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",Elementary flows/Emission to air/high population density,kg,elementary,,,
267,false,ccb169c3-8aae-4727-89bb-a7dd122946f3,"Particulate Matter, > 2.5 um and < 10um",Elementary flows/Emission to air/high population density,kg,elementary,,,
268,false,c75dd699-08a5-4215-acf5-e618995e768f,"Benzene, pentachloro-",Elementary flows/Emission to air/high population density,kg,elementary,,,
269,false,1af44724-172c-462b-b277-bb4b2fd32c33,"Benzene, hexachloro-",Elementary flows/Emission to air/high population density,kg,elementary,,,
270,false,1bb6a502-3ff9-4a79-835c-5588b855f1f5,Benzene,Elementary flows/Emission to air/high population density,kg,elementary,,,
271,false,230d8a0a-517c-43fe-8357-1818dd12997a,"Particulate Matter, < 2.5 um",Elementary flows/Emission to air/high population density,kg,elementary,,,
272,false,08b928d8-1812-4e0b-b057-4bcaaba24865,"Phenol, pentachloro-",Elementary flows/Emission to air/high population density,kg,elementary,,,
273,false,2cbb504a-ce2f-40e9-9d38-e130e95a1242,Benzo(a)pyrene,Elementary flows/Emission to air/high population density,kg,elementary,,,
274,true,17a5a406-333f-4b9e-8852-c2de50bc9585,"Transformation, from shrub land, sclerophyllous",Elementary flows/Resource/land,m2,elementary,,,
275,true,bba9f623-5919-4ef3-b98d-c94af1553179,"Transformation, to forest, unspecified",Elementary flows/Resource/land,m2,elementary,,,
276,true,9089d7ad-09b1-4174-a188-8844ebde2d5d,"Transformation, to shrub land, sclerophyllous",Elementary flows/Resource/land,m2,elementary,,,
277,true,c199261c-8234-43c5-b906-5b67707e4395,"Occupation, shrub land, sclerophyllous",Elementary flows/Resource/land,m2*a,elementary,,,
278,true,1eaa9ea4-40b8-414a-b198-5626400372e1,"Occupation, dump site",Elementary flows/Resource/land,m2*a,elementary,,,
279,true,1a568858-efa8-4c2a-b46e-82b6e66b6072,"Transformation, to dump site, sanitary landfill",Elementary flows/Resource/land,m2,elementary,,,
280,true,b79e26a0-88db-441f-b79b-508506e81b93,"Transformation, from dump site, sanitary landfill",Elementary flows/Resource/land,m2,elementary,,,
281,true,70aa745b-8bc5-4433-b2f5-d1da652ba166,"Occupation, urban/industrial fallow (non-use)",Elementary flows/Resource/land,m2*a,elementary,,,
282,false,152e5a83-96e8-4f54-af42-4f0925a771ac,"Heat, waste",Elementary flows/Emission to water/surface water,MJ,elementary,,,
283,true,9ba48284-0f03-4fec-800d-de77833b12f6,reinforcing steel,C:Manufacturing/24:Manufacture of basic metals/241:Manufacture of basic iron and steel/2410:Manufacture of basic iron and steel,kg,product,,,
284,false,90642509-fb39-4552-a66d-7b48ba99d231,"sewage sludge, 70% water, WWT, WW from glass production","E:Water supply; sewerage, waste management and remediation activities/38:Waste collection, treatment and disposal activities; materials recovery/382:Waste treatment and disposal/3821:Treatment and disposal of non-hazardous waste",kg,waste,,,
285,false,9a8c2994-7cbb-4d86-a1b7-27fc0c4e49e3,waste reinforcement steel,"E:Water supply; sewerage, waste management and remediation activities/38:Waste collection, treatment and disposal activities; materials recovery/383:Materials recovery/3830:Materials recovery",kg,waste,,,
286,true,947a85fa-114e-4d9e-b36c-3293e48ea5ae,"polyethylene, low density, granulate","C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2013:Manufacture of plastics and synthetic rubber in primary forms",kg,product,,,
287,true,cc0d4252-6207-41d6-8567-bcbad58a7bef,"copper scrap, sorted, pressed","E:Water supply; sewerage, waste management and remediation activities/38:Waste collection, treatment and disposal activities; materials recovery/381:Waste collection/3811:Collection of non-hazardous waste",kg,product,,,
288,false,842824f6-b139-4f06-ae9c-81cce8d99e81,"Water, CH",Elementary flows/Emission to water/surface water,m3,elementary,,,
289,false,cf9f6cf8-9a1a-3a22-b742-c9f1e15d7b61,"Sulfur dioxide, CH",Elementary flows/Emission to air/high population density,kg,elementary,,,
290,false,9f06c90c-695e-4f14-93d4-26e12d9e3d4c,"sewage sludge, 97% water, WWT, WW from glass production","E:Water supply; sewerage, waste management and remediation activities/38:Waste collection, treatment and disposal activities; materials recovery/382:Waste treatment and disposal/3821:Treatment and disposal of non-hazardous waste",kg,waste,,,
291,true,858164b0-44f1-4118-b6cb-47054faa21ef,"aluminium scrap, post-consumer, prepared for melting","E:Water supply; sewerage, waste management and remediation activities/38:Waste collection, treatment and disposal activities; materials recovery/383:Materials recovery/3830:Materials recovery",kg,product,,,
292,false,09872080-d143-4fb1-a3a5-647b077107ff,Water,Elementary flows/Emission to air/low population density,m3,elementary,,,
293,false,afd6d670-bbb0-4625-9730-04088a5b035e,Dinitrogen monoxide,Elementary flows/Emission to air/low population density,kg,elementary,,,
294,false,d3fe6705-5f5c-4961-b14d-0f9dd0e90e34,waste bitumen,"E:Water supply; sewerage, waste management and remediation activities/38:Waste collection, treatment and disposal activities; materials recovery/382:Waste treatment and disposal/3821:Treatment and disposal of non-hazardous waste",kg,waste,,,
295,true,4f312355-ac65-4635-8fb2-006dba64ce60,"iron scrap, sorted, pressed","E:Water supply; sewerage, waste management and remediation activities/38:Waste collection, treatment and disposal activities; materials recovery/383:Materials recovery/3830:Materials recovery",kg,product,,,
296,true,b685192a-e033-421e-9074-8fe7cb176046,"polyethylene, high density, granulate","C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2013:Manufacture of plastics and synthetic rubber in primary forms",kg,product,,,
297,true,406ae9de-8894-4c8b-a601-40b7e849b66d,"extrusion, plastic pipes",C:Manufacturing/22:Manufacture of rubber and plastics products/222:Manufacture of plastics products/2220:Manufacture of plastics products,kg,product,,,
298,true,c5246dbb-0abd-4bee-8dda-d52a1b202322,"steel, chromium steel 18/8, hot rolled",C:Manufacturing/24:Manufacture of basic metals/241:Manufacture of basic iron and steel/2410:Manufacture of basic iron and steel,kg,product,,,
299,false,b411ec8b-c60a-4235-a3b2-8bf8443cbc55,"Heat, waste",Elementary flows/Emission to air/high population density,MJ,elementary,,,
300,true,af01e564-f816-4906-bd4f-b7c932f926b9,Oxygen,Elementary flows/Resource/in air,kg,elementary,,,
301,false,07f704a2-2746-4364-bcfd-606cefc30715,"Heat, waste",Elementary flows/Emission to air/low population density,MJ,elementary,,,
302,false,240c1a3c-1aba-4528-afc3-3f27f56583be,"inert waste, for final disposal","E:Water supply; sewerage, waste management and remediation activities/38:Waste collection, treatment and disposal activities; materials recovery/382:Waste treatment and disposal/3821:Treatment and disposal of non-hazardous waste",kg,waste,,,
303,false,5d368100-b1bc-4456-8420-e469edccf349,Water,Elementary flows/Emission to air/high population density,m3,elementary,,,
304,true,e7a17355-8575-4be4-8c51-85e38b19b3f3,pitch,C:Manufacturing/19:Manufacture of coke and refined petroleum products/192:Manufacture of refined petroleum products/1920:Manufacture of refined petroleum products,kg,product,,,
305,true,c5adb1fb-872e-4446-a3bb-c4b61aa4bd45,tap water,"E:Water supply; sewerage, waste management and remediation activities/36:Water collection, treatment and supply/360:Water collection, treatment and supply/3600:Water collection, treatment and supply",kg,product,,,
306,true,f157b88d-f288-473c-8b03-0f97b58235ff,"Transformation, to urban/industrial fallow (non-use)",Elementary flows/Resource/land,m2,elementary,,,
307,true,a430f433-cdc8-45be-ace2-32a634634d3b,"aluminium, cast alloy",C:Manufacturing/24:Manufacture of basic metals/242:Manufacture of basic precious and other non-ferrous metals/2420:Manufacture of basic precious and other non-ferrous metals,kg,product,,,
308,true,fbb039f7-f9cc-46d2-b631-313ddb125c1a,"copper, cathode",C:Manufacturing/24:Manufacture of basic metals/242:Manufacture of basic precious and other non-ferrous metals/2420:Manufacture of basic precious and other non-ferrous metals,kg,product,,,
309,true,29f75a6a-e5cd-40f6-8f84-797deb0ef98c,polyacrylamide,"C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2011:Manufacture of basic chemicals",kg,product,,,
310,true,1768722c-0cb1-4b0b-9183-2ff16919120e,"polyvinylchloride, bulk polymerised","C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2013:Manufacture of plastics and synthetic rubber in primary forms",kg,product,,,
311,true,cfbce515-3f54-4411-ad9d-3d26b7faa15a,"transport, freight, lorry, unspecified",H:Transportation and storage/49:Land transport and transport via pipelines/492:Other land transport/4923:Freight transport by road,t*km,product,,,
312,false,dca43ede-b779-47a7-b2e7-cb4e7b12c3da,"Heat, waste","Elementary flows/Emission to water/ground water, long-term",MJ,elementary,,,
313,true,71e2f1db-a2c5-44d0-8337-dfff15be974d,"heat, district or industrial, other than natural gas","D:Electricity, gas, steam and air conditioning supply/35:Electricity, gas, steam and air conditioning supply/353:Steam and air conditioning supply/3530:Steam and air conditioning supply",MJ,product,,,
314,true,66ca2f38-5e51-4546-83c0-d7cef0c55c7c,"polypropylene, granulate","C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2013:Manufacture of plastics and synthetic rubber in primary forms",kg,product,,,
315,true,4447af36-0897-4b00-8fd0-fd6a446dda6a,cast iron,C:Manufacturing/24:Manufacture of basic metals/241:Manufacture of basic iron and steel/2410:Manufacture of basic iron and steel,kg,product,,,
316,false,1eb1b94c-e9d8-47ab-969b-9cca920157d8,"Particulate Matter, > 10 um",Elementary flows/Emission to air/high population density,kg,elementary,,,
317,false,ed8da356-ed40-4a35-8de4-57aee1d3c279,Xylene,Elementary flows/Emission to air/high population density,kg,elementary,,,
318,true,350765c0-a00b-41ef-b824-c603077e82d2,road,F:Construction/42:Civil engineering/421:Construction of roads and railways/4210:Construction of roads and railways,m*a,product,,,
319,false,27da8130-82ba-485c-a800-b89efdcb0491,municipal solid waste,"E:Water supply; sewerage, waste management and remediation activities/38:Waste collection, treatment and disposal activities; materials recovery/382:Waste treatment and disposal/3821:Treatment and disposal of non-hazardous waste",kg,waste,,,
320,true,7fdc928c-f347-45e7-82d7-046acdf878ae,"Transformation, from dump site, residual material landfill",Elementary flows/Resource/land,m2,elementary,,,
321,true,8f5c8cb3-dccd-45da-9f1f-d1c61cd789c3,"Transformation, to dump site, residual material landfill",Elementary flows/Resource/land,m2,elementary,,,
322,true,9d63da75-8289-4b96-a900-67ec3bd40a16,sulfuric acid,"C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2012:Manufacture of fertilizers and nitrogen compounds",kg,product,,,
323,true,198f9bb6-4268-4609-b85f-3f90f0d26d6d,"paper, woodfree, uncoated","C:Manufacturing/17:Manufacture of paper and paper products/170:Manufacture of paper and paper products/1701:Manufacture of pulp, paper and paperboard",kg,product,,,
324,false,580b6c42-5004-49a0-b474-27dc65e0d47b,"waste building wood, chrome preserved","E:Water supply; sewerage, waste management and remediation activities/38:Waste collection, treatment and disposal activities; materials recovery/382:Waste treatment and disposal/3821:Treatment and disposal of non-hazardous waste",kg,waste,,,
325,true,84925dd9-d7ca-50b6-950e-0bbb739e0109,"glued laminated timber, MUF-glue","C:Manufacturing/16:Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials/162:Manufacture of products of wood, cork, straw and plaiting materials/1621:Manufacture of veneer sheets and wood-based panels",m3,product,,,
326,true,6eabd178-3f87-5399-a0e9-1875d44bfe28,"glued laminated timber, PUR-glue","C:Manufacturing/16:Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials/162:Manufacture of products of wood, cork, straw and plaiting materials/1621:Manufacture of veneer sheets and wood-based panels",m3,product,,,
327,true,cdb7b939-f508-49ed-80f3-b39f6137fe1c,"wire drawing, copper",C:Manufacturing/24:Manufacture of basic metals/242:Manufacture of basic precious and other non-ferrous metals/2420:Manufacture of basic precious and other non-ferrous metals,kg,product,,,
328,true,e8a51ec1-60cb-4ead-a948-ad1142c61918,"wastewater, average","E:Water supply; sewerage, waste management and remediation activities/37:Sewerage/370:Sewerage/3700:Sewerage",m3,waste,,,
329,false,71234253-b3a7-4dfe-b166-a484ad15bee7,Mercury II,Elementary flows/Emission to air/unspecified,kg,elementary,,,
330,false,ca8ec222-fdaa-4c97-849e-130f1256593f,"used lorry, 16 metric ton","E:Water supply; sewerage, waste management and remediation activities/38:Waste collection, treatment and disposal activities; materials recovery/383:Materials recovery/3830:Materials recovery",Item(s),waste,,,
