index,is input,flow ID,flow name,flow category,flow unit,flow type,location ID,location name,location code
65,false,5d368100-b1bc-4456-8420-e469edccf349,Water,Elementary flows/Emission to air/high population density,m3,elementary,,,
66,false,257eacb9-96fe-4a3d-961a-f5e6c7823ff0,Hydrogen fluoride,Elementary flows/Emission to air/high population density,kg,elementary,,,
67,false,581ddcdf-82b7-4f87-83ee-761a44fea7f7,Magnesium,Elementary flows/Emission to soil/industrial,kg,elementary,,,
68,false,9c706cff-cb82-4207-a589-95896e04dc08,Manganese II,Elementary flows/Emission to soil/industrial,kg,elementary,,,
69,false,d068f3e2-b033-417b-a359-ca4f25da9731,Nitrogen oxides,Elementary flows/Emission to air/high population density,kg,elementary,,,
70,false,381a22c9-3722-4378-810d-86958f7b6d32,Cobalt II,Elementary flows/Emission to soil/industrial,kg,elementary,,,
71,false,a850e6de-a007-432f-be7f-ce6e2cf1f2ae,Mercury II,Elementary flows/Emission to air/high population density,kg,elementary,,,
72,false,0a5e8a67-f9ae-48b3-bfa7-e9d37c30a191,Copper ion,Elementary flows/Emission to soil/industrial,kg,elementary,,,
73,false,9afa0173-ecbd-4f2c-9c5c-b3128a032812,"Carbon monoxide, non-fossil",Elementary flows/Emission to air/high population density,kg,elementary,,,
74,false,230d8a0a-517c-43fe-8357-1818dd12997a,"Particulate Matter, < 2.5 um",Elementary flows/Emission to air/high population density,kg,elementary,,,
75,false,2f8952b0-c90c-4e3d-b546-52b862fc8f11,Phosphorus,Elementary flows/Emission to soil/industrial,kg,elementary,,,
76,false,77c46f0e-c8c0-4bc3-992c-2a9725d49f70,Bromine,Elementary flows/Emission to air/high population density,kg,elementary,,,
77,false,20664d0e-24e3-4daa-8c5c-2ade6e0c2723,Formaldehyde,Elementary flows/Emission to air/high population density,kg,elementary,,,
78,false,765546a9-b056-4d27-ad14-2f016511bdcb,Aluminium III,Elementary flows/Emission to soil/industrial,kg,elementary,,,
