index,provider ID,provider name,provider category,provider location,flow ID,flow name,flow category,flow unit,flow type
0,6e55ed06-8e7e-44b6-8a61-d72bee13e427,Distribution of MSW-1,MSW/Permissive_Management,,27da8130-82ba-485c-a800-b89efdcb0491,municipal solid waste,"E:Water supply; sewerage, waste management and remediation activities/38:Waste collection, treatment and disposal activities; materials recovery/382:Waste treatment and disposal/3821:Treatment and disposal of non-hazardous waste",kg,waste
1,61e41ca9-2320-4365-8a6b-6cbb1dd83828,MSW reforced management-IND,MSW/Current Management,,27da8130-82ba-485c-a800-b89efdcb0491,municipal solid waste,"E:Water supply; sewerage, waste management and remediation activities/38:Waste collection, treatment and disposal activities; materials recovery/382:Waste treatment and disposal/3821:Treatment and disposal of non-hazardous waste",kg,waste
2,d88a67d0-7454-49f9-87c3-b64a9b3c6e1d,Distribution of MSW-2,MSW/Permissive_Management,,27da8130-82ba-485c-a800-b89efdcb0491,municipal solid waste,"E:Water supply; sewerage, waste management and remediation activities/38:Waste collection, treatment and disposal activities; materials recovery/382:Waste treatment and disposal/3821:Treatment and disposal of non-hazardous waste",kg,waste
3,bef93ee7-f4a7-4d71-bdd7-94889ef7bb98,open burning,MSW/Permissive_Management,GLO,27da8130-82ba-485c-a800-b89efdcb0491,municipal solid waste,"E:Water supply; sewerage, waste management and remediation activities/38:Waste collection, treatment and disposal activities; materials recovery/382:Waste treatment and disposal/3821:Treatment and disposal of non-hazardous waste",kg,waste
4,1acce888-ceee-4ffc-b9e3-e78a3a8fa06f,"open dump, moist infiltration class (300mm)",MSW/Permissive_Management,GLO,27da8130-82ba-485c-a800-b89efdcb0491,municipal solid waste,"E:Water supply; sewerage, waste management and remediation activities/38:Waste collection, treatment and disposal activities; materials recovery/382:Waste treatment and disposal/3821:Treatment and disposal of non-hazardous waste",kg,waste
